TIPO LOGR,LOGRD,NUMERO,BAIRRO,MUNICIPIO,UF,Latitude,Longitude
SITIO,CAJUI,SN,CANDEIAS,Cedro,CE,-6.59806,-39.1
RUA,SAO JOAO BATISTA,473,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,VEREADOR SALUSTIANO MOURA,537,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL. JOSE DE ALBUQUERQUE,402,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,PE ANCHIETA,S N,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,COQUEIRO,SN,DISTRITO LAGEDO,Cedro,CE,-6.51167,-39.05972
RUA,RUA SALUSTIANO MOURA,565,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL. JOSE DE ALBUQUERQUE,469-B,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,LAGOA SECA,S/N,UBALDINHO,Cedro,CE,-6.58333,-39.23333
RUA,ANTONIO VALDER VIANA,191,CENTRO,Cedro,CE,-6.60667,-39.06222
SITIO,LAGEDO,1210,DISTRITO LAGEDO,Cedro,CE,-6.51167,-39.05972
RUA,VICENTE B DA SILVA,26,CENTRO,Cedro,CE,-6.60667,-39.06222
GALERIA,BACANA,46,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CORONEL ANTONIO AFONSO,S/N,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,DEP LIBERATO MOACIR DE AGUIAR,00158,CENTRO,Cedro,CE,-6.60667,-39.06222
RODOVIA,CE 284 (RODOVIA CELSO ALVES DE ARAUJO E SILVA),00,JARDIM AFONSO CELSO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,131,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,Ver. Antonio Viana Araujo,340,Fatima,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOAO CANDIDO,226,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBURQUERQUE,407,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,187,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,RUA C,417,FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,ANTONIO VALDER VIANA,109,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,CEL JOSE DE ALBUQUERQUE,618,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,RAIMUNDO PAIVA DA SILVA,00247,DIVISAO,Cedro,CE,-6.60667,-39.06222
RUA,JOSE PEREIRA MAGALHAES,12,DE FATIMA,Cedro,CE,-6.60667,-39.06222
RUA,MARIA LUIZA AFONSO,463,JARDIM AFONSO CELSO,Cedro,CE,-6.6003963,-39.0608355
RUA,SENADOR JOAO TOME,203,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,JOSE AIRTON DE SOUZA,402,RODOVIARIA,Cedro,CE,-6.60667,-39.06222
RUA,ADAUTO CASTELO,551,CENTRO,Cedro,CE,-6.60667,-39.06222
RUA,Coronel Jose de Albuquerque,495,Centro,Cedro,CE,-6.60667,-39.06222
ALAMEDA,JOSE QUINTINO,218,PRADO,Cedro,CE,-6.6029799,-39.0559769
