,CNPJ B,CNPJ O,CNPJ DV,MATRIZ/FIL,NOME FANT,STC,DATA STC,MOTIVO STC,CD EXT,PAIS,DT IN ATV,CNAE PRINCP,CNAE SECND,TIPO LOGR,LOGRD,NUMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICIPIO,DDD1,TELEFONE1,DDD2,TELEFONE2,DDDFAX,FAX,CORREIO ELET,ST ESPC,DATA ST ESPC,CNAE PRINCIP
0,1915160,1,23,1,,8,2018-10-30,1,,,1997-06-23,Construção de edifícios,4299501,RUA,VICENTINA ALBUQUERQUE,117,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4120400
1,331408,1,46,1,,8,2015-02-09,73,,,1994-12-06,Comércio varejista de materiais de construção não especificados anteriormente,,RUA,SAO JOAO BATISTA,S/N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4744005
2,79338,2,61,2,,8,2018-02-15,1,,,1999-09-08,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",,TRAVESSA,ANTONIO PEREIRA,000101,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711302
3,4147410,1,10,1,BRITO VARIEDADES,8,2020-08-25,1,,,2000-11-01,Comercio varejista de artigos de armarinho,,RUA,CEL JOSE DE ALBUQUERQUE,590,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4755502
4,7130370,34,50,2,,8,1994-08-18,1,,,1992-06-16,"Comércio atacadista de café torrado, moído e solúvel",,RUA,VALDER VIANA,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4637101
5,7141385,2,37,2,ANTONIO FERREIRA DA SILVA DEPOSITO,8,2010-05-21,1,,,1978-01-12,Comércio varejista de gás liqüefeito de petróleo (GLP),,RUA,CEL JOAO CANDIDO,482,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4784900
6,9529942,2,17,2,,8,2008-12-31,71,,,1980-09-09,Comércio varejista de combustíveis para veículos automotores,4732600,RUA,PE CICERO,S/N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4731800
7,4177401,1,72,1,MERCADINHO VEM QUE TEM,8,2002-04-12,1,,,2000-11-30,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,CEL.  LUIZ  FELIPE,172,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
8,912228,1,58,1,,8,2011-01-06,54,,,1995-10-11,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,OBI JUCA DINIZ,163,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
9,4279792,1,36,1,HOTEL CEDROM,8,2015-02-09,73,,,2000-08-01,Hotéis,,RUA,PREFESSOR NATANAEL CORTEZ,000949,,CENTRO,63400000.0,CE,1375,,,,,,,,,,5510801
10,973856,1,43,1,,8,2015-02-09,73,,,1995-12-19,Atividades de associações de defesa de direitos sociais,"9493600,9499500",RUA,JOSE ACIOLY,241,,CENTRO,63400000.0,CE,1375,,,,,,,,,,9430800
11,1017017,1,14,1,,8,2008-12-31,71,,,1996-01-19,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,SACO DA TELHA,S/N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,9430800
12,1054541,1,65,1,,8,2008-12-31,71,,,1996-01-02,Criação de frangos para corte,,RODOVIA,CEDRO UMARIZEIRA,S/N,KM 6,FAZENDA ESPRAIADO,63400000.0,CE,1375,,,,,,,,,,155501
13,2719507,1,25,1,PANIFICADORA PARADA INGLESA,8,2012-01-16,54,,,1998-08-26,Fabricação de produtos de panificação industrial,,RUA,SENADOR JOAO TOME,170,,CENTRO,63400000.0,CE,1375,,,,,,,,,,1091101
14,6645722,1,80,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,JULIO ALVES DOS SANTOS,144,,FATIMA,63400000.0,CE,1375,,,,,,,,,,9492800
15,6650219,1,12,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,CHENERAL TIBUCIO,28,,ALTO DA INDEPENDEN,63400000.0,CE,1375,,,,,,,,,,9492800
16,6691507,1,15,1,,8,2004-12-31,1,,,2004-07-20,Atividades de organizações políticas,,RUA,AZARIAS ALVES DINIZ,0,S/N,CENTRO,63400000.0,CE,1375,,,,,,,,,,9492800
17,1187708,1,66,1,,8,2008-12-31,71,,,1996-05-06,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,VARZEA,S/N,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,9430800
18,1223347,1,66,1,LANCHONETE SORVETERIA JESSICA,8,2008-12-31,71,,,1996-05-20,"Lanchonetes, casas de chá, de sucos e similares",,RUA,DR JOSE ACIOLY,317,A,CENTRO,63400000.0,CE,1375,,,,,,,,,,5611203
19,6893937,1,10,1,POSTO CLERIM,8,2021-12-30,1,,,1982-02-03,Comércio varejista de combustíveis para veículos automotores,4732600,RUA,SAO JOSE,1562,,PEDRA AVOANTE,63400000.0,CE,1375,88.0,35640005.0,88.0,99512763.0,88.0,35640005.0,,,,4731800
20,4897514,1,42,1,OFICINA PADRE CICERO,8,2013-05-16,1,,,2002-01-25,Comércio varejista de ferragens e ferramentas,,SITIO,LAGEDO,1120-A,,ZONA RURAL,63400000.0,CE,1375,,,,,,,,,,4744001
21,7140932,1,89,1,,8,2008-12-31,71,,,1966-08-18,Torrefação e moagem de café,,RUA,ADAUTO CASTELO,4,,CENTRO,63400000.0,CE,1375,,,,,,,,,,1081302
22,7141070,1,9,1,,8,2013-08-12,54,,,1994-05-17,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,DO COMERCIO,S N,,VARZEA,63400000.0,CE,1375,,,,,,,,,,4712100
23,41463977,1,22,1,,8,2008-04-07,1,,,1992-01-20,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,,LOC  MERCADO PUBLICO,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
24,7141369,1,63,1,,8,1994-04-29,1,,,1966-08-20,Comércio varejista de tecidos,,RUA,SENADOR JOAO TOME,9,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4755501
25,7142060,1,98,1,,8,2007-05-08,1,,,1967-02-10,Comércio varejista de artigos do vestuário e acessórios,,RUA,D PEDRO II,01,TERREO,CENTRO,63400000.0,CE,1375,,,,,,,,,,4781400
26,7142144,1,21,1,,8,2007-08-06,1,,,1973-06-13,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,CEL LUIZ FELIPE,10,,,63400000.0,CE,1375,,,,,,,,,,4712100
27,7287493,1,31,1,,8,2021-07-08,1,,,1983-07-25,Comércio varejista de bebidas,4772500,RUA,JULIO ALVES DOS SANTOS,88,,FATIMA,63400000.0,CE,1375,88.0,97364512.0,,,,,marocildofreitas@bol.com.br,,,4723700
28,7430739,1,82,1,LUIZ NOGUEIRA DA SILVA MERCEARIA,8,2008-12-31,71,,,1977-03-31,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",,RUA,JOEL PASSOS,159,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4711301
29,7799810,1,7,1,,8,2008-12-31,71,,,1985-09-30,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns",,RUA,DO COMERCIO,SN,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
30,7812209,1,7,1,,8,1978-05-02,1,,,1974-08-29,Atividade Econônica não informada,,FAZENDA,SAO LUIZ,S N,TERREO,,63400000.0,CE,1375,,,,,,,,,,8888888
31,7812233,1,38,1,,8,2008-12-31,71,,,1974-11-07,"Lanchonetes, casas de chá, de sucos e similares",,RUA,SENADOR JOAO TOME,5,,CENTRO,63400000.0,CE,1375,,,,,,,,,,5611203
32,63393417,1,81,1,ADECIL,8,2015-02-09,73,,,1991-04-12,Agências de publicidade,,,GAL  BACANA,S N,ALTOS,CENTRO,63400000.0,CE,1375,,,,,,,,,,7311400
