,Unnamed: 0.1,Unnamed: 0,CNPJ B,CNPJ O,CNPJ DV,MATRIZ/FIL,NOME FANT,STC,DATA STC,MOTIVO STC,CD EXT,PAIS,DT IN ATV,CNAE PRINCP,CNAE SECND,TIPO LOGR,LOGRD,NUMERO,COMPLEMENTO,BAIRRO,CEP,UF,MUNICIPIO,DDD1,TELEFONE1,DDD2,TELEFONE2,DDDFAX,FAX,CORREIO ELET,ST ESPC,DATA ST ESPC,CNAE PRINCIP
0,0,3,5971679,1,80,1,ACTBG,2,2005-11-03,0,,,2003-06-06,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,CAJUI,SN,,CANDEIAS,63400000.0,CE,1375,,,,,,,,,,9430800
1,1,6,6119021,1,7,1,APOLO SERVICOS EMPRESARIAIS,2,2004-10-23,0,,,2004-02-16,"Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",8291100,RUA,SAO JOAO BATISTA,473,,CENTRO,63400000.0,CE,1375,88.0,98160606.0,88.0,92159089.0,,,APOLOVEICULOS2010@GMAIL.COM,,,7490104
2,2,8,4689685,1,86,1,PONTO DA CARNE,2,2003-03-15,0,,,2001-09-28,Comércio varejista de carnes - açougues,,RUA,VEREADOR SALUSTIANO MOURA,537,,CENTRO,63400000.0,CE,1375,88.0,99417217.0,88.0,92916523.0,,,,,,4722901
3,3,9,7530710,1,72,1,POSTO BR CEDRO,2,2004-10-23,0,,,1984-06-18,Comércio varejista de combustíveis para veículos automotores,4732600,RUA,CEL. JOSE DE ALBUQUERQUE,402,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4731800
4,4,10,10535631,1,69,1,BENEFICIADORA SAO FRANCISCO,2,2005-11-03,0,,,1986-04-29,Beneficiamento de arroz,,RUA,PE ANCHIETA,S N,,CENTRO,63400000.0,CE,1375,,,,,,,,,,1061901
5,5,12,7469669,1,76,1,ACUC,2,2004-09-12,0,,,2004-09-12,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,COQUEIRO,SN,,DISTRITO LAGEDO,63400000.0,CE,1375,88.0,98015523.0,88.0,94755003.0,,,dacosta32@hotmail.com,,,9430800
6,6,13,7776486,1,1,1,RECANTO DO CRIADOR,2,2021-06-21,0,,,2005-08-02,Comércio varejista de medicamentos veterinários,4789004,RUA,RUA SALUSTIANO MOURA,565,TERREO,CENTRO,63400000.0,CE,1375,88.0,35640147.0,,,,,,,,4771704
7,7,14,98150,1,80,1,CASA MATOS,2,2004-11-26,0,,,1994-06-24,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","4759899,4761003,4742300,4744001,4744099,4755502,4721104,4763602,4763604",RUA,CEL. JOSE DE ALBUQUERQUE,469-B,,CENTRO,63400000.0,CE,1375,,,,,,,,,,4712100
8,8,15,4491369,1,3,1,ACMFD,2,2005-11-03,0,,,2001-03-28,Atividades de associações de defesa de direitos sociais,"9493600,9499500",SITIO,LAGOA SECA,S/N,,UBALDINHO,63400000.0,CE,1375,,,,,,,,,,9430800
9,9,17,7536124,1,35,1,STYLOSA,2,2005-08-03,0,,,2005-08-03,Comercio varejista de artigos de armarinho,"4781400,4755503,4782202",RUA,ANTONIO VALDER VIANA,191,,CENTRO,63400000.0,CE,1375,88.0,96990706.0,,,,,MARIASILESIA@HOTMAIL.COM,,,4755502
10,10,18,8856116,1,39,1,MERCANTIL DO MAURO,2,2007-05-28,0,,,2007-05-28,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns","4755502,4541206,4781400",SITIO,LAGEDO,1210,,DISTRITO LAGEDO,63400000.0,CE,1375,88.0,99096937.0,,,,,,,,4712100
11,11,19,10015903,1,8,1,H P PREMOLDADOS,2,2008-07-04,0,,,2008-07-04,Comércio varejista de materiais de construção em geral,,RUA,VICENTE B DA SILVA,26,,CENTRO,63400000.0,CE,1375,88.0,99417217.0,88.0,92916523.0,,,CLEBIO.CONTABILIDADE@HOTMAIL.COM,,,4744099
